Launch Site,Latitude,Velocity Boost,Phi
Pacific Spaceport Complex (Alaska),57.43533,15.196616881685841,1.002435615469475
Vandenberg Space Force Base (California),34.77204,14.774865380961044,0.606886585635169
Boca Chica / Starbase (Texas),25.996,14.617384289758565,0.4537157923484459
Kennedy Space Center (Florida),28.6082,14.66348570675663,0.4993072830690418
Wallops Flight Facility (Virginia),37.84621,14.83146981594567,0.6605409739012031
Baikonur Cosmodrome (Kazakhstan),45.95515,14.982675440818747,0.8020686757478722
Guiana Space Centre (French Guiana),5.23739,14.28679489075472,0.09140969971102582
Satish Dhawan Space Centre (India),13.7374,14.413186904685858,0.23976286066346902
Taiyuan Satellite Launch Center (China),38.849086,14.850048574751352,0.6780444620904338
Mahia Peninsula (New Zealand),39.26044,14.85768271517904,0.6852239437816826
